City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
428,Durant,US,80.51,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
429,Neyshabur,IR,80.82,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
430,Noumea,NC,70.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
432,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
435,Guangshui,CN,79.0,scattered clouds,31.6199,113.9978,广水市雅瑞假日生态园
437,Mtambile,TZ,79.23,clear sky,-5.3833,39.7,
438,Birao,CF,77.85,moderate rain,10.2849,22.7882,
441,Pochutla,MX,77.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
444,Tuy Hoa,VN,78.8,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
447,Slonim,BY,74.95,broken clouds,53.0867,25.3219,Hostel on Brestskaya 107
449,Iguatemi,BR,71.15,scattered clouds,-23.6803,-54.5611,Hotel Seriema
452,Serra Talhada,BR,78.4,overcast clouds,-7.9919,-38.2983,Pousada São Luiz
453,Isla Vista,US,73.92,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
454,Sun City West,US,83.68,clear sky,33.662,-112.3413,Windmill All Suites Surprise
455,Varna,BG,83.23,few clouds,43.2167,27.9167,Golden Tulip Varna
457,Ochakiv,UA,75.63,clear sky,46.6128,31.5498,Briz
458,Porto Novo,BJ,85.46,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
462,Choctaw,US,81.99,clear sky,35.4976,-97.2689,Woodland Hills Mobile Home Prk
463,Brownsville,US,85.96,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
464,Babu,CN,75.16,moderate rain,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
468,Cape Canaveral,US,87.08,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
469,Dingle,PH,77.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
470,Coro,VE,83.84,broken clouds,11.4045,-69.6734,Federal
